web_scraper_order,web_scraper_start_url,container_links_gaaraas2,marque,modèle,année,prix,kilométrage,type_boite_vitesse,région
"1786625882-147","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-2514","Peugeot 405","Peugeot 405","2002","2 200 000","160 000 km","Manuelle","Dakar"
"1786625887-148","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879","Peugeot 807","Peugeot 807","2007","2 800 000","160 000 km","Manuelle","Dakar"
"1786625892-149","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-1235","Hyundai Elantra","Hyundai Elantra","2013","6 500 000","66 000 km","Automatique","Dakar"
"1786625901-150","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584","Peugeot 307","Peugeot 307","2004","2 700 000","140 000 km","Manuelle","Dakar"
"1786625912-151","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1928","Skoda Octavia","Skoda Octavia","2008","1 900 000","160 000 km","Manuelle","Dakar"
"1786625922-152","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615","Renault 19","Renault 19","2000","2 000 000","160 000 km","Manuelle","Dakar"
"1786625933-153","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1132","Renault Megane","Renault Megane","2008","1 600 000","160 000 km","Manuelle","Dakar"
"1786625943-154","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-704","Ford Escape","Ford Escape","2010","6 000 000","180 000 km","Automatique","Dakar"
"1786625954-155","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-4140","Hyundai Tucson","Hyundai Tucson","2008","2 600 000","110 000 km","Manuelle","Dakar"
"1786625966-156","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415","Ford Escape","Ford Escape","2006","4 500 000","120 000 km","Automatique","Dakar"
"1786625980-157","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989","Peugeot 207","Peugeot 207","2012","3 800 000","142 000 km","Automatique","Dakar"
"1786625992-158","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-2296","Dacia Logan","Dacia Logan","2009","2 200 000","160 000 km","Manuelle","Dakar"
"1786626004-159","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862","Peugeot 307","Peugeot 307","2007","2 000 000","160 000 km","Manuelle","Dakar"
"1786626015-160","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026","Ford Focus","Ford Focus","2014","4 500 000","115 000 km","Automatique","Dakar"
"1786626026-161","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569","Peugeot 407","Peugeot 407","2007","2 800 000","120 000 km","Manuelle","Dakar"
"1786626040-162","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-spacestar-dakar-dakar-2614","Mitsubishi Spacestar","Mitsubishi Spacestar","2008","2 000 000","160 000 km","Manuelle","Dakar"
"1786626051-163","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-407","Peugeot 308","Peugeot 308","2008","2 500 000","140 000 km","Manuelle","Dakar"
"1786626067-164","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-406","Volkswagen Passat","Volkswagen Passat","2007","2 000 000","90 000 km","Automatique","Dakar"
"1786626095-165","https://www.gaaraas.com/fr/users/dakar-auto?page=5","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-653","Renault Clio","Renault Clio","2010","2 700 000","120 000 km","Manuelle","Dakar"
"1786626110-166","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1764","Peugeot 307","Peugeot 307","2007","2 000 000","160 000 km","Manuelle","Dakar"
"1786626118-167","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-3067","Toyota Camry","Toyota Camry","2009","3 500 000","145 000 km","Automatique","Dakar"
"1786626129-168","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380","Citroen C5","Citroen C5","2005","2 100 000","334 000 km","Manuelle","Dakar"
"1786626139-169","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-418","Renault Clio","Renault Clio","2004","1 900 000","120 000 km","Manuelle","Dakar"
"1786626149-170","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-prado-dakar-dakar-2902","Toyota Prado","Toyota Prado","2000","4 000 000","140 000 km","Manuelle","Dakar"
"1786626161-171","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3068","Peugeot 308","Peugeot 308","2009","3 600 000","140 000 km","Manuelle","Dakar"
"1786626173-172","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-2193","Volkswagen Golf","Volkswagen Golf","2000","1 500 000","160 000 km","Manuelle","Dakar"
"1786626183-173","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1326","Peugeot 307","Peugeot 307","2007","2 300 000","160 000 km","Manuelle","Dakar"
"1786626197-174","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2219","Peugeot 308","Peugeot 308","2009","3 300 000","256 730 km","Manuelle","Dakar"
"1786626209-175","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-soul-dakar-dakar-2469","Kia Soul","Kia Soul","2010","3 500 000","172 900 km","Manuelle","Dakar"
"1786626217-176","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575","Peugeot 307","Peugeot 307","2008","2 800 000","160 000 km","Manuelle","Dakar"
"1786626225-177","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2583","Citroen C4","Citroen C4","2006","2 200 000","160 000 km","Manuelle","Dakar"
"1786626237-178","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-291","Mitsubishi L200","Mitsubishi L200","2012","11 900 000","116 000 km","Manuelle","Dakar"
"1786626245-179","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2633","Peugeot 307","Peugeot 307","2007","2 500 000","160 000 km","Manuelle","Dakar"
"1786626254-180","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899","Ford Edge","Ford Edge","2008","7 000 000","125 000 km","Automatique","Dakar"
"1786626262-181","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-daewoo-matiz-dakar-dakar-672","Daewoo Matiz","Daewoo Matiz","2009","3 000 000","120 000 km","Manuelle","Dakar"
"1786626269-182","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2612","Peugeot 307","Peugeot 307","2007","2 200 000","160 000 km","Manuelle","Dakar"
"1786626276-183","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2214","Citroen C4","Citroen C4","2008","2 100 000","160 000 km","Manuelle","Dakar"
"1786626285-184","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-154","Peugeot 307","Peugeot 307","2007","2 300 000","210 000 km","Manuelle","Dakar"
"1786626300-185","https://www.gaaraas.com/fr/users/dakar-auto?page=4","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3738","Ford Escape","Ford Escape","2011","4 000 000","109 400 km","Manuelle","Dakar"
"1786626322-186","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3585","Peugeot 307","Peugeot 307","2007","2 100 000","140 000 km","Manuelle","Dakar"
"1786626338-187","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-3571","Hyundai Tucson","Hyundai Tucson","2009","4 000 000","140 000 km","Manuelle","Dakar"
"1786626353-188","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1777","Peugeot 308","Peugeot 308","2009","2 300 000","311 368 km","Manuelle","Dakar"
"1786626367-189","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152","Peugeot 406","Peugeot 406","2003","2 600 000","160 000 km","Manuelle","Dakar"
"1786626384-190","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2726","Renault 19","Renault 19","2002","2 100 000","160 000 km","Manuelle","Dakar"
"1786626391-191","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-3223","Peugeot 406","Peugeot 406","2002","2 200 000","140 000 km","Manuelle","Dakar"
"1786626398-192","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1343","Peugeot 406","Peugeot 406","2004","2 000 000","18 000 km","Manuelle","Dakar"
"1786626404-193","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1895","Renault Laguna","Renault Laguna","2007","2 300 000","84 000 km","Manuelle","Dakar"
"1786626412-194","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-1998","Mitsubishi L200","Mitsubishi L200","2008","7 200 000","160 000 km","Manuelle","Dakar"
"1786626420-195","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1107","Renault Megane","Renault Megane","2006","1 700 000","180 000 km","Manuelle","Dakar"
"1786626429-196","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-ssangyong-kyron-dakar-dakar-1184","SsangYong Kyron","SsangYong Kyron","2007","2 000 000","120 000 km","Automatique","Dakar"
"1786626441-197","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-3589","Nissan Altima","Nissan Altima","2012","3 000 000","130 000 km","Automatique","Dakar"
"1786626449-198","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-getz-dakar-dakar-4133","Hyundai Getz","Hyundai Getz","2008","1 800 000","98 000 km","Manuelle","Dakar"
"1786626458-199","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-583","Peugeot 307","Peugeot 307","2008","2 500 000","128 000 km","Manuelle","Dakar"
"1786626466-200","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3057","Ford Focus","Ford Focus","2006","2 150 000","160 000 km","Manuelle","Dakar"
"1786626474-201","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3463","Peugeot 307","Peugeot 307","2008","3 200 000","140 000 km","Manuelle","Dakar"
"1786626482-202","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-land-cruiser-prado-dakar-dakar-4202","Toyota Land Cruiser Prado","Toyota Land Cruiser Prado","2005","3 800 000","130 000 km","Manuelle","Dakar"
"1786626492-203","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2047","Peugeot 307","Peugeot 307","2007","2 200 000","160 000 km","Manuelle","Dakar"
"1786626501-204","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-3470","Volkswagen Passat","Volkswagen Passat","2007","2 900 000","265 000 km","Manuelle","Dakar"
"1786626509-205","https://www.gaaraas.com/fr/users/dakar-auto?page=3","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404","Ford Taurus","Ford Taurus","2006","3 800 000","200 000 km","Manuelle","Dakar"
"1786626521-206","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-820","Volkswagen Passat","Volkswagen Passat","2006","2 500 000","164 686 km","Manuelle","Dakar"
"1786626530-207","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-739","Hyundai Tucson","Hyundai Tucson","2006","3 000 000","164 231 km","Manuelle","Dakar"
"1786626541-208","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-1153","Opel Astra","Opel Astra","2003","2 500 000","160 000 km","Manuelle","Dakar"
"1786626554-209","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221","Hyundai Sonata","Hyundai Sonata","2011","3 500 000","66 000 km","Automatique","Dakar"
"1786626564-210","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2632","Peugeot 307","Peugeot 307","2008","1 900 000","160 000 km","Manuelle","Dakar"
"1786626575-211","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2498","Skoda Octavia","Skoda Octavia","2012","4 000 000","70 000 km","Manuelle","Dakar"
"1786626589-212","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-463","Toyota Camry","Toyota Camry","2011","3 800 000","0 km","Automatique","Dakar"
"1786626600-213","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-rover-600-dakar-dakar-677","Rover 600","Rover 600","2002","1 800 000","128 000 km","Manuelle","Dakar"
"1786626610-214","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1861","Renault 19","Renault 19","1989","2 300 000","180 000 km","Manuelle","Dakar"
"1786626623-215","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807","Kia Sorento","Kia Sorento","2009","3 800 000","140 000 km","Manuelle","Dakar"
"1786626632-216","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2371","Peugeot 307","Peugeot 307","2008","2 600 000","250 000 km","Manuelle","Dakar"
"1786626641-217","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-309-dakar-dakar-4162","Peugeot 309","Peugeot 309","2000","2 800 000","130 000 km","Manuelle","Dakar"
"1786626651-218","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325","Chevrolet Camaro","Chevrolet Camaro","2012","4 000 000","220 000 km","Manuelle","Dakar"
"1786626660-219","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-aygo-dakar-dakar-1778","Toyota Aygo","Toyota Aygo","2009","2 700 000","150 000 km","Manuelle","Dakar"
"1786626670-220","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-fabia-dakar-dakar-611","Skoda Fabia","Skoda Fabia","2007","1 800 000","220 000 km","Manuelle","Dakar"
"1786626681-221","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-civic-dakar-dakar-806","Honda Civic","Honda Civic","2007","2 300 000","180 000 km","Automatique","Dakar"
"1786626695-222","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-848","Dacia Logan","Dacia Logan","2010","2 000 000","161 000 km","Manuelle","Dakar"
"1786626704-223","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-elysion-dakar-dakar-1905","Honda Elysion","Honda Elysion","2011","3 500 000","160 000 km","Automatique","Dakar"
"1786626713-224","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1779","Renault Megane","Renault Megane","2005","2 000 000","160 000 km","Manuelle","Dakar"
"1786626721-225","https://www.gaaraas.com/fr/users/dakar-auto?page=2","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2610","Renault Scenic","Renault Scenic","2005","2 200 000","140 000 km","Manuelle","Dakar"
"1786626744-226","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-605-dakar-dakar-2622","Peugeot 605","Peugeot 605","2004","2 200 000","160 000 km","Manuelle","Dakar"
"1786626752-227","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-4139","Nissan Altima","Nissan Altima","2014","2 500 000","110 000 km","Automatique","Dakar"
"1786626761-228","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451","Renault Scenic","Renault Scenic","2009","1 300 000","160 000 km","Manuelle","Dakar"
"1786626770-229","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-895","Peugeot 308","Peugeot 308","2012","3 800 000","103 000 km","Manuelle","Dakar"
"1786626782-230","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-3645","Mercedes‒Benz 190","Mercedes‒Benz 190","2004","2 200 000","140 000 km","Manuelle","Dakar"
"1786626796-231","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-2431","Mitsubishi L200","Mitsubishi L200","2006","7 500 000","160 000 km","Manuelle","Dakar"
"1786626803-232","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-auris-dakar-dakar-3321","Toyota Auris","Toyota Auris","2005","3 500 000","179 315 km","Manuelle","Dakar"
"1786626811-233","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-4197","Land Rover Range Rover Sport","Land Rover Range Rover Sport","2008","6 000 000","130 000 km","Automatique","Dakar"
"1786626818-234","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-1102","Ford Edge","Ford Edge","2011","9 800 000","80 000 km","Automatique","Dakar"
"1786626827-235","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304","Citroen C3","Citroen C3","N/A","1 800 000","220 000 km","Manuelle","Dakar"
"1786626835-236","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2430","Citroen Berlingo","Citroen Berlingo","2008","3 300 000","214 000 km","Manuelle","Dakar"
"1786626847-237","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-4351","Nissan Murano","Nissan Murano","2011","2 300 000","188 000 km","Automatique","Dakar"
"1786626856-238","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-2806","Hyundai Tucson","Hyundai Tucson","2008","3 400 000","140 000 km","Manuelle","Dakar"
"1786626869-239","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-740","Volkswagen Golf","Volkswagen Golf","2003","2 500 000","160 000 km","Manuelle","Dakar"
"1786626881-240","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-610","Citroen C3","Citroen C3","2008","2 300 000","128 000 km","Manuelle","Dakar"
"1786626902-241","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1341","Peugeot 307","Peugeot 307","2007","2 400 000","160 000 km","Manuelle","Dakar"
"1786626920-242","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-mazda-6-dakar-dakar-3224","Mazda 6","Mazda 6","2010","4 000 000","182 000 km","Automatique","Dakar"
"1786626937-243","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-3432","Nissan Qashqai","Nissan Qashqai","2014","7 800 000","63 000 km","Automatique","Dakar"
"1786626960-244","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escort-dakar-dakar-644","Ford Escort","Ford Escort","2007","2 700 000","174 000 km","Manuelle","Dakar"
"1786626980-245","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855","Nissan Murano","Nissan Murano","2008","3 200 000","115 305 km","Automatique","Dakar"
