Marque,Modele,Annee,Prix,Kilometrage,Boite_vitesse,Region
Renault,19,2000,2000000.0,160000.0,Manuelle,Dakar
Skoda,Octavia,2008,1900000.0,160000.0,Manuelle,Dakar
Peugeot,307,2004,2700000.0,140000.0,Manuelle,Dakar
Hyundai,Elantra,2013,6500000.0,66000.0,Automatique,Dakar
Peugeot,807,2007,2800000.0,160000.0,Manuelle,Dakar
Peugeot,405,2002,2200000.0,160000.0,Manuelle,Dakar
Peugeot,308,2007,2800000.0,230000.0,Manuelle,Dakar
Citroen,C3,2008,2100000.0,110000.0,Manuelle,Dakar
Renault,Logan,2007,2900000.0,160000.0,Manuelle,Dakar
Renault,19,2000,1800000.0,180000.0,Manuelle,Dakar
Toyota,RAV4,2008,2900000.0,130000.0,Manuelle,Dakar
Peugeot,307,2007,2500000.0,120000.0,Automatique,Dakar
BMW,315,2007,1500000.0,120000.0,Manuelle,Dakar
Jeep,Patriot,2010,3900000.0,140000.0,Manuelle,Dakar
Peugeot,206,2008,2300000.0,164000.0,Manuelle,Dakar
Mitsubishi,ASX,2011,6000000.0,94954.0,Manuelle,Dakar
Citroen,C3,2008,1800000.0,160000.0,Manuelle,Dakar
Mitsubishi,L200,2009,7800000.0,160000.0,Manuelle,Dakar
Peugeot,307,2007,2400000.0,160000.0,Manuelle,Dakar
Peugeot,308,2008,3300000.0,120000.0,Manuelle,Dakar
Toyota,Corolla,2008,3300000.0,140000.0,Manuelle,Dakar
BMW,X1,2010,3700000.0,150000.0,Automatique,Dakar
Peugeot,207,2008,1800000.0,120000.0,Manuelle,Dakar
Renault,21,2002,2700000.0,160000.0,Manuelle,Dakar
Peugeot,307,2007,2100000.0,132000.0,Manuelle,Dakar
Volkswagen,Passat,2007,1600000.0,120000.0,Manuelle,Dakar
Renault,Megane,2006,1600000.0,180000.0,Manuelle,Dakar
Citroen,C5,2008,2700000.0,130000.0,Manuelle,Dakar
Kia,Carnival,2008,2500000.0,160000.0,Manuelle,Dakar
Land Rover,Range Rover Sport,2009,,160000.0,Automatique,Dakar
Peugeot,307,2008,3200000.0,128000.0,Manuelle,Dakar
Citroen,C3,2011,2800000.0,136000.0,Manuelle,Dakar
Chevrolet,Sail,2013,2200000.0,90000.0,Manuelle,Dakar
Renault,Scenic,2006,2300000.0,200000.0,Manuelle,Dakar
Toyota,Corolla,2004,2700000.0,28752.0,Manuelle,Dakar
Dacia,Sandero,2009,2800000.0,140000.0,Manuelle,Dakar
Citroen,C3,2006,1500000.0,160000.0,Manuelle,Dakar
Citroen,C3,2007,2000000.0,180000.0,Manuelle,Dakar
Ford,Fusion,2009,2000000.0,144000.0,Automatique,Dakar
Renault,Laguna,2007,2000000.0,160000.0,Manuelle,Dakar
Nissan,Rogue,2009,5500000.0,160000.0,Automatique,Dakar
Ford,Edge,2011,10000000.0,105000.0,Automatique,Dakar
Citroen,C4,2007,2100000.0,160000.0,Manuelle,Dakar
Skoda,Octavia,2012,3500000.0,147000.0,Manuelle,Dakar
Citroen,Berlingo,2007,2000000.0,140000.0,Manuelle,Dakar
Citroen,Berlingo,2008,2300000.0,160000.0,Manuelle,Dakar
Peugeot,207,2010,3200000.0,144410.0,Manuelle,Dakar
Peugeot,307,2007,2300000.0,137000.0,Manuelle,Dakar
Peugeot,206,2009,2000000.0,130000.0,Manuelle,Dakar
Renault,Laguna,2004,2000000.0,160000.0,Manuelle,Dakar
Mercedes‒Benz,250,2004,1900000.0,160000.0,Manuelle,Dakar
Nissan,Qashqai+2,2013,6500000.0,101000.0,Manuelle,Dakar
Ford,Escape,2011,4300000.0,130000.0,Automatique,Dakar
Peugeot,307,2007,2100000.0,90000.0,Manuelle,Dakar
Hyundai,Elantra,2013,5800000.0,21000.0,Automatique,Dakar
Mitsubishi,Endeavor,2012,4300000.0,100000.0,Automatique,Dakar
Peugeot,508,2011,5500000.0,179000.0,Automatique,Dakar
Citroen,C3,2006,1900000.0,160000.0,Manuelle,Dakar
Renault,Scenic,2007,1950000.0,160000.0,Manuelle,Dakar
Citroen,Nemo,2009,2400000.0,160000.0,Manuelle,Dakar
Peugeot,407,2006,2300000.0,291000.0,Manuelle,Dakar
Nissan,Versa,2010,2500000.0,120000.0,Automatique,Dakar
Renault,Scenic,2005,1500000.0,180000.0,Manuelle,Dakar
Renault,Megane,2006,1800000.0,160000.0,Manuelle,Dakar
Peugeot,407,2007,2600000.0,180000.0,Manuelle,Dakar
Mercedes‒Benz,190,2000,2400000.0,160000.0,Manuelle,Dakar
Renault,Kangoo,2012,4500000.0,264127.0,Manuelle,Dakar
Hyundai,Accent,2007,1700000.0,,Manuelle,Dakar
Dacia,Logan,2008,3000000.0,160000.0,Manuelle,Dakar
Renault,Laguna,2007,1400000.0,180000.0,Manuelle,Dakar
Peugeot,3008,2011,6500000.0,,Manuelle,Dakar
Peugeot,307,2008,2200000.0,160000.0,Manuelle,Dakar
Citroen,C3,2008,2000000.0,200000.0,Manuelle,Dakar
Citroen,C4,2010,2200000.0,289983.0,Manuelle,Dakar
Opel,Astra,2009,1500000.0,160000.0,Manuelle,Dakar
